market_id,scan_timestamp,event_date,sport,competition,event,market_type,selection,bookmaker,decimal_odds,source,source_url_or_note
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,home,Book1,2.70,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,away,Book4,2.55,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,home,Book5,2.80,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,draw,Book5,3.60,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,1x2,away,Book5,2.45,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-OU25,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,over_under_2_5,over,Book1,1.90,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-OU25,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,over_under_2_5,under,Book1,1.95,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-OU25,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,over_under_2_5,over,Book2,1.87,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-OU25,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,over_under_2_5,under,Book2,1.98,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-OU25,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,over_under_2_5,over,Book3,1.92,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-OU25,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,over_under_2_5,under,Book3,1.93,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-OU25,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,over_under_2_5,over,Book4,1.88,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E0-2026-09-18-BRE-CHE-OU25,2026-09-18T09:00:00,2026-09-18,football,Premier League,Brentford v Chelsea,over_under_2_5,under,Book4,1.97,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-1X2,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,1x2,home,Book1,2.00,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-1X2,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,1x2,draw,Book1,3.40,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-1X2,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,1x2,away,Book1,3.80,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-1X2,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,1x2,home,Book2,2.05,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-1X2,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,1x2,draw,Book2,3.35,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-1X2,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,1x2,away,Book2,3.70,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-1X2,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,1x2,home,Book3,1.95,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-1X2,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,1x2,draw,Book3,3.45,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-1X2,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,1x2,away,Book3,3.90,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-1X2,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,1x2,home,Book4,2.02,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-1X2,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,1x2,draw,Book4,3.30,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-1X2,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,1x2,away,Book4,3.75,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-OU25,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,over_under_2_5,over,Book1,2.05,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-OU25,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,over_under_2_5,under,Book1,1.78,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-OU25,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,over_under_2_5,over,Book2,2.02,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-OU25,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,over_under_2_5,under,Book2,1.80,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-OU25,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,over_under_2_5,over,Book3,2.10,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
E1-2026-09-18-BRC-WAT-OU25,2026-09-18T09:00:00,2026-09-18,football,Championship,Bristol City v Watford,over_under_2_5,under,Book3,1.75,dryrun_synthetic,ILLUSTRATIVE panel -- not verified real bookmaker quotes; see checkpoint
